Keyword,Count,Weight
java,82,0.03780544029506685
data,62,0.02858460119870908
applet,54,0.024896265560165973
new,48,0.022130013831258646
object,47,0.021668971876440755
button,45,0.02074688796680498
int,38,0.01751959428307976
class,36,0.016597510373443983
method,35,0.016136468418626097
string,32,0.01475334255417243
code,32,0.01475334255417243
array,31,0.01429230059935454
type,23,0.010603964960811434
public,22,0.010142923005993546
example,20,0.009220839096357769
program,19,0.00875979714153988
comment,15,0.006915629322268326
use,15,0.006915629322268326
application,14,0.006454587367450438
language,14,0.006454587367450438
return,14,0.006454587367450438
primitive,14,0.006454587367450438
memory,14,0.006454587367450438
make,13,0.00599354541263255
system,13,0.00599354541263255
pointer,13,0.00599354541263255
name,13,0.00599354541263255
parameter,13,0.00599354541263255
operator,13,0.00599354541263255
variable,12,0.005532503457814661
